id,prompt,label,reasoning,rung,query_type,graph_id,story_id,question_property,formal_form
224,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: The man in the room has a direct effect on room. The candle has a direct effect on room. The overall probability of blowing out the candle is 23%. For people not blowing out candles, the probability of dark room is 23%. For people who blow out candles, the probability of dark room is 58%. Is dark room more likely than bright room overall?",no,"Let V2 = the candle; X = the man in the room; Y = room.
X->Y,V2->Y
P(Y)
P(Y | X=1)*P(X=1) + P(Y | X=0)*P(X=0)
P(X=1) = 0.23
P(Y=1 | X=0) = 0.23
P(Y=1 | X=1) = 0.58
0.23*0.58 - 0.77*0.23 = 0.31
0.31 > 0",1,marginal,fork,candle,easy,P(Y)
232,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: The man in the room has a direct effect on room. The candle has a direct effect on room. Method 1: We look at how the man in the room correlates with room case by case according to the candle. Method 2: We look directly at how the man in the room correlates with room in general. To understand how the man in the room affects room, is it more correct to use the Method 1 than Method 2?",no,"nan
nan
nan
nan
nan
nan
nan",2,backadj,fork,candle,easy,[backdoor adjustment set for Y given X]
240,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: The man in the room has a direct effect on room. The candle has a direct effect on room. The overall probability of blowing out the candle is 43%. For people not blowing out candles, the probability of dark room is 48%. For people who blow out candles, the probability of dark room is 80%. Is dark room more likely than bright room overall?",yes,"Let V2 = the candle; X = the man in the room; Y = room.
X->Y,V2->Y
P(Y)
P(Y | X=1)*P(X=1) + P(Y | X=0)*P(X=0)
P(X=1) = 0.43
P(Y=1 | X=0) = 0.48
P(Y=1 | X=1) = 0.80
0.43*0.80 - 0.57*0.48 = 0.61
0.61 > 0",1,marginal,fork,candle,easy,P(Y)
304,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: CEO has a direct effect on director and manager. Manager has a direct effect on employee. Director has a direct effect on employee. The overall probability of manager signing the termination letter is 31%. The probability of manager not signing the termination letter and employee being fired is 21%. The probability of manager signing the termination letter and employee being fired is 24%. Is the chance of employee being fired larger when observing manager signing the termination letter?",yes,"Let V1 = CEO; V3 = director; X = manager; Y = employee.
V1->V3,V1->X,X->Y,V3->Y
P(Y | X)
P(X = 1, Y = 1)/P(X = 1) - P(X = 0, Y = 1)/P(X = 0)
P(X=1=1) = 0.31
P(Y=1, X=0=1) = 0.21
P(Y=1, X=1=1) = 0.24
0.24/0.31 - 0.21/0.69 = 0.47
0.47 > 0",1,correlation,diamondcut,firing_employee,easy,P(Y | X)
312,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: CEO has a direct effect on director and manager. Manager has a direct effect on employee. Director has a direct effect on employee. For CEOs who fire employees and managers who don't sign termination letters, the probability of employee being fired is 43%. For CEOs who fire employees and managers who sign termination letters, the probability of employee being fired is 81%. For CEOs who fire employees and managers who don't sign termination letters, the probability of employee being fired is 63%. For CEOs who fire employees and managers who sign termination letters, the probability of employee being fired is 98%. The overall probability of CEO's decision to fire the employee is 26%. Will manager signing the termination letter decrease the chance of employee being fired?",no,"Let V1 = CEO; V3 = director; X = manager; Y = employee.
V1->V3,V1->X,X->Y,V3->Y
E[Y | do(X = 1)] - E[Y | do(X = 0)]
\sum_{V1=v} P(V1=v)*[P(Y=1|V1=v,X=1) - P(Y=1|V1=v, X=0)]
P(Y=1 | V1=0, X=0) = 0.43
P(Y=1 | V1=0, X=1) = 0.81
P(Y=1 | V1=1, X=0) = 0.63
P(Y=1 | V1=1, X=1) = 0.98
P(V1=1) = 0.26
0.74 * (0.81 - 0.43) 0.26 * (0.98 - 0.63) = 0.38
0.38 > 0",2,ate,diamondcut,firing_employee,easy,E[Y | do(X = 1)] - E[Y | do(X = 0)]
336,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: CEO has a direct effect on director and manager. Manager has a direct effect on employee. Director has a direct effect on employee. The overall probability of manager signing the termination letter is 19%. The probability of manager not signing the termination letter and employee being fired is 21%. The probability of manager signing the termination letter and employee being fired is 12%. Is the chance of employee being fired larger when observing manager signing the termination letter?",yes,"Let V1 = CEO; V3 = director; X = manager; Y = employee.
V1->V3,V1->X,X->Y,V3->Y
P(Y | X)
P(X = 1, Y = 1)/P(X = 1) - P(X = 0, Y = 1)/P(X = 0)
P(X=1=1) = 0.19
P(Y=1, X=0=1) = 0.21
P(Y=1, X=1=1) = 0.12
0.12/0.19 - 0.21/0.81 = 0.41
0.41 > 0",1,correlation,diamondcut,firing_employee,easy,P(Y | X)
344,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: CEO has a direct effect on director and manager. Manager has a direct effect on employee. Director has a direct effect on employee. Method 1: We look directly at how manager correlates with employee in general. Method 2: We look at this correlation case by case according to director. To understand how manager affects employee, is it more correct to use the Method 1 than Method 2?",no,"nan
nan
nan
nan
nan
nan
nan",2,backadj,diamondcut,firing_employee,easy,[backdoor adjustment set for Y given X]
352,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: CEO has a direct effect on director and manager. Manager has a direct effect on employee. Director has a direct effect on employee. The overall probability of manager signing the termination letter is 24%. The probability of manager not signing the termination letter and employee being fired is 26%. The probability of manager signing the termination letter and employee being fired is 18%. Is the chance of employee being fired larger when observing manager signing the termination letter?",yes,"Let V1 = CEO; V3 = director; X = manager; Y = employee.
V1->V3,V1->X,X->Y,V3->Y
P(Y | X)
P(X = 1, Y = 1)/P(X = 1) - P(X = 0, Y = 1)/P(X = 0)
P(X=1=1) = 0.24
P(Y=1, X=0=1) = 0.26
P(Y=1, X=1=1) = 0.18
0.18/0.24 - 0.26/0.76 = 0.41
0.41 > 0",1,correlation,diamondcut,firing_employee,easy,P(Y | X)
368,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: CEO has a direct effect on director and manager. Manager has a direct effect on employee. Director has a direct effect on employee. The overall probability of manager signing the termination letter is 34%. For managers who don't sign termination letters, the probability of employee being fired is 28%. For managers who sign termination letters, the probability of employee being fired is 64%. Is employee being fired less likely than employee not being fired overall?",yes,"Let V1 = CEO; V3 = director; X = manager; Y = employee.
V1->V3,V1->X,X->Y,V3->Y
P(Y)
P(Y | X=1)*P(X=1) + P(Y | X=0)*P(X=0)
P(X=1) = 0.34
P(Y=1 | X=0) = 0.28
P(Y=1 | X=1) = 0.64
0.34*0.64 - 0.66*0.28 = 0.40
0.40 > 0",1,marginal,diamondcut,firing_employee,easy,P(Y)
408,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: The captain has a direct effect on the private and the corporal. The corporal has a direct effect on prisoner. The private has a direct effect on prisoner. The overall probability of the captain's order to execute the prisoner is 68%. The probability of the captain's order to release the prisoner and the prisoner's death is 13%. The probability of the captain's order to execute the prisoner and the prisoner's death is 56%. Is the chance of the prisoner's death larger when observing the captain's order to execute the prisoner?",yes,"Let X = the captain; V3 = the private; V2 = the corporal; Y = prisoner.
X->V3,X->V2,V2->Y,V3->Y
P(Y | X)
P(X = 1, Y = 1)/P(X = 1) - P(X = 0, Y = 1)/P(X = 0)
P(X=1=1) = 0.68
P(Y=1, X=0=1) = 0.13
P(Y=1, X=1=1) = 0.56
0.56/0.68 - 0.13/0.32 = 0.42
0.42 > 0",1,correlation,diamond,firing_squad,easy,P(Y | X)
416,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: The captain has a direct effect on the private and the corporal. The corporal has a direct effect on prisoner. The private has a direct effect on prisoner. For captains who release prisoners, the probability of the prisoner's death is 34%. For captains who execute prisoners, the probability of the prisoner's death is 80%. For captains who execute prisoners, would it be more likely to see the prisoner's death if the captain had ordered the release of the prisoner?",no,"Let X = the captain; V3 = the private; V2 = the corporal; Y = prisoner.
X->V3,X->V2,V2->Y,V3->Y
E[Y_{X = 1} - Y_{X = 0} | X = 1]
P(Y=1|X=1) - P(Y=1|X=0)
P(Y=1 | X=0) = 0.34
P(Y=1 | X=1) = 0.80
0.80 - 0.34 = 0.45
0.45 > 0",3,ett,diamond,firing_squad,easy,E[Y_{X = 1} - Y_{X = 0} | X = 1]
520,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: The captain has a direct effect on the private and the corporal. The corporal has a direct effect on prisoner. The private has a direct effect on prisoner. For captains who release prisoners, the probability of the prisoner's death is 34%. For captains who execute prisoners, the probability of the prisoner's death is 57%. Will the captain's order to execute the prisoner increase the chance of the prisoner's death?",yes,"Let X = the captain; V3 = the private; V2 = the corporal; Y = prisoner.
X->V3,X->V2,V2->Y,V3->Y
E[Y | do(X = 1)] - E[Y | do(X = 0)]
P(Y=1|X=1) - P(Y=1|X=0)
P(Y=1 | X=0) = 0.34
P(Y=1 | X=1) = 0.57
0.57 - 0.34 = 0.22
0.22 > 0",2,ate,diamond,firing_squad,easy,E[Y | do(X = 1)] - E[Y | do(X = 0)]
528,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: The captain has a direct effect on the private and the corporal. The corporal has a direct effect on prisoner. The private has a direct effect on prisoner. The overall probability of the captain's order to execute the prisoner is 44%. The probability of the captain's order to release the prisoner and the prisoner's death is 30%. The probability of the captain's order to execute the prisoner and the prisoner's death is 29%. Is the chance of the prisoner's death smaller when observing the captain's order to execute the prisoner?",no,"Let X = the captain; V3 = the private; V2 = the corporal; Y = prisoner.
X->V3,X->V2,V2->Y,V3->Y
P(Y | X)
P(X = 1, Y = 1)/P(X = 1) - P(X = 0, Y = 1)/P(X = 0)
P(X=1=1) = 0.44
P(Y=1, X=0=1) = 0.30
P(Y=1, X=1=1) = 0.29
0.29/0.44 - 0.30/0.56 = 0.12
0.12 > 0",1,correlation,diamond,firing_squad,easy,P(Y | X)
552,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Season has a direct effect on sprinkler and weather. Weather has a direct effect on ground. Sprinkler has a direct effect on ground. For people in the dry season, the probability of wet ground is 39%. For in the rainy season, the probability of wet ground is 49%. Does season negatively affect ground through weather and sprinkler?",no,"Let X = season; V3 = sprinkler; V2 = weather; Y = ground.
X->V3,X->V2,V2->Y,V3->Y
E[Y_{X=0, V2=1, V3=1} - Y_{X=0, V2=0, V3=0}]
P(Y=1|X=1) - P(Y=1|X=0)
P(Y=1 | X=0) = 0.39
P(Y=1 | X=1) = 0.49
0.49 - 0.39 = 0.10
0.10 > 0",3,nie,diamond,floor_wet,easy,"E[Y_{X=0, V2=1, V3=1} - Y_{X=0, V2=0, V3=0}]"
568,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Season has a direct effect on sprinkler and weather. Weather has a direct effect on ground. Sprinkler has a direct effect on ground. For people in the dry season, the probability of wet ground is 42%. For in the rainy season, the probability of wet ground is 47%. Does season negatively affect ground through weather and sprinkler?",no,"Let X = season; V3 = sprinkler; V2 = weather; Y = ground.
X->V3,X->V2,V2->Y,V3->Y
E[Y_{X=0, V2=1, V3=1} - Y_{X=0, V2=0, V3=0}]
P(Y=1|X=1) - P(Y=1|X=0)
P(Y=1 | X=0) = 0.42
P(Y=1 | X=1) = 0.47
0.47 - 0.42 = 0.05
0.05 > 0",3,nie,diamond,floor_wet,easy,"E[Y_{X=0, V2=1, V3=1} - Y_{X=0, V2=0, V3=0}]"
624,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Season has a direct effect on sprinkler and weather. Weather has a direct effect on ground. Sprinkler has a direct effect on ground. For people in the dry season, the probability of wet ground is 38%. For in the rainy season, the probability of wet ground is 43%. For in the rainy season, would it be less likely to see wet ground if the season had been dry?",yes,"Let X = season; V3 = sprinkler; V2 = weather; Y = ground.
X->V3,X->V2,V2->Y,V3->Y
E[Y_{X = 1} - Y_{X = 0} | X = 1]
P(Y=1|X=1) - P(Y=1|X=0)
P(Y=1 | X=0) = 0.38
P(Y=1 | X=1) = 0.43
0.43 - 0.38 = 0.05
0.05 > 0",3,ett,diamond,floor_wet,easy,E[Y_{X = 1} - Y_{X = 0} | X = 1]
632,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Season has a direct effect on sprinkler and weather. Weather has a direct effect on ground. Sprinkler has a direct effect on ground. For people in the dry season, the probability of wet ground is 33%. For in the rainy season, the probability of wet ground is 48%. Does season negatively affect ground through weather and sprinkler?",no,"Let X = season; V3 = sprinkler; V2 = weather; Y = ground.
X->V3,X->V2,V2->Y,V3->Y
E[Y_{X=0, V2=1, V3=1} - Y_{X=0, V2=0, V3=0}]
P(Y=1|X=1) - P(Y=1|X=0)
P(Y=1 | X=0) = 0.33
P(Y=1 | X=1) = 0.48
0.48 - 0.33 = 0.15
0.15 > 0",3,nie,diamond,floor_wet,easy,"E[Y_{X=0, V2=1, V3=1} - Y_{X=0, V2=0, V3=0}]"
736,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: The camper has a direct effect on the forest. The smoker has a direct effect on the forest. The overall probability of the camper lighting a match is 24%. For campers who do not light a match, the probability of the forest on fire is 34%. For campers who light a match, the probability of the forest on fire is 60%. Is the forest on fire more likely than the forest not on fire overall?",no,"Let V2 = the smoker; X = the camper; Y = the forest.
X->Y,V2->Y
P(Y)
P(Y | X=1)*P(X=1) + P(Y | X=0)*P(X=0)
P(X=1) = 0.24
P(Y=1 | X=0) = 0.34
P(Y=1 | X=1) = 0.60
0.24*0.60 - 0.76*0.34 = 0.41
0.41 > 0",1,marginal,fork,forest_fire,easy,P(Y)
760,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: The camper has a direct effect on the forest. The smoker has a direct effect on the forest. The overall probability of the camper lighting a match is 7%. The probability of the camper not lighting a match and the forest on fire is 38%. The probability of the camper lighting a match and the forest on fire is 6%. Is the chance of the forest on fire larger when observing the camper lighting a match?",yes,"Let V2 = the smoker; X = the camper; Y = the forest.
X->Y,V2->Y
P(Y | X)
P(X = 1, Y = 1)/P(X = 1) - P(X = 0, Y = 1)/P(X = 0)
P(X=1=1) = 0.07
P(Y=1, X=0=1) = 0.38
P(Y=1, X=1=1) = 0.06
0.06/0.07 - 0.38/0.93 = 0.41
0.41 > 0",1,correlation,fork,forest_fire,easy,P(Y | X)
792,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Alice waking up has a direct effect on Alice arriving to school. Traffic has a direct effect on Alice arriving to school. For days when Alice wakes up on time, the probability of arriving to school on time is 88%. For days when Alice wakes up late, the probability of arriving to school on time is 35%. Will waking up late increase the chance of arriving to school on time?",no,"Let V2 = traffic; X = Alice waking up; Y = Alice arriving to school.
X->Y,V2->Y
E[Y | do(X = 1)] - E[Y | do(X = 0)]
P(Y|X)
P(Y=1 | X=0) = 0.88
P(Y=1 | X=1) = 0.35
0.35 - 0.88 = -0.52
-0.52 < 0",2,ate,fork,getting_late,easy,E[Y | do(X = 1)] - E[Y | do(X = 0)]
800,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Alice waking up has a direct effect on Alice arriving to school. Traffic has a direct effect on Alice arriving to school. Method 1: We look at how Alice waking up correlates with Alice arriving to school case by case according to traffic. Method 2: We look directly at how Alice waking up correlates with Alice arriving to school in general. To understand how Alice waking up affects Alice arriving to school, is it more correct to use the Method 1 than Method 2?",no,"nan
nan
nan
nan
nan
nan
nan",2,backadj,fork,getting_late,easy,[backdoor adjustment set for Y given X]
808,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Alice waking up has a direct effect on Alice arriving to school. Traffic has a direct effect on Alice arriving to school. The overall probability of waking up late is 71%. For days when Alice wakes up on time, the probability of arriving to school on time is 66%. For days when Alice wakes up late, the probability of arriving to school on time is 26%. Is arriving to school on time less likely than arriving to school late overall?",yes,"Let V2 = traffic; X = Alice waking up; Y = Alice arriving to school.
X->Y,V2->Y
P(Y)
P(Y | X=1)*P(X=1) + P(Y | X=0)*P(X=0)
P(X=1) = 0.71
P(Y=1 | X=0) = 0.66
P(Y=1 | X=1) = 0.26
0.71*0.26 - 0.29*0.66 = 0.38
0.38 > 0",1,marginal,fork,getting_late,easy,P(Y)
824,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Alice waking up has a direct effect on Alice arriving to school. Traffic has a direct effect on Alice arriving to school. Method 1: We look directly at how Alice waking up correlates with Alice arriving to school in general. Method 2: We look at this correlation case by case according to traffic. To understand how Alice waking up affects Alice arriving to school, is it more correct to use the Method 1 than Method 2?",yes,"nan
nan
nan
nan
nan
nan
nan",2,backadj,fork,getting_late,easy,[backdoor adjustment set for Y given X]
848,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Alice waking up has a direct effect on Alice arriving to school. Traffic has a direct effect on Alice arriving to school. For days when Alice wakes up on time, the probability of arriving to school on time is 60%. For days when Alice wakes up late, the probability of arriving to school on time is 33%. Will waking up late decrease the chance of arriving to school on time?",yes,"Let V2 = traffic; X = Alice waking up; Y = Alice arriving to school.
X->Y,V2->Y
E[Y | do(X = 1)] - E[Y | do(X = 0)]
P(Y|X)
P(Y=1 | X=0) = 0.60
P(Y=1 | X=1) = 0.33
0.33 - 0.60 = -0.27
-0.27 < 0",2,ate,fork,getting_late,easy,E[Y | do(X = 1)] - E[Y | do(X = 0)]
880,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Alice waking up has a direct effect on Alice arriving to school. Traffic has a direct effect on Alice arriving to school. For days when Alice wakes up on time, the probability of arriving to school on time is 88%. For days when Alice wakes up late, the probability of arriving to school on time is 45%. For days when Alice wakes up late, would it be more likely to see arriving to school on time if Alice had gotten up on time?",yes,"Let V2 = traffic; X = Alice waking up; Y = Alice arriving to school.
X->Y,V2->Y
E[Y_{X = 1} - Y_{X = 0} | X = 1]
P(Y=1|X=1) - P(Y=1|X=0)
P(Y=1 | X=0) = 0.88
P(Y=1 | X=1) = 0.45
0.45 - 0.88 = -0.43
-0.43 < 0",3,ett,fork,getting_late,easy,E[Y_{X = 1} - Y_{X = 0} | X = 1]
896,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Alice waking up has a direct effect on Alice arriving to school. Traffic has a direct effect on Alice arriving to school. Method 1: We look at how Alice waking up correlates with Alice arriving to school case by case according to traffic. Method 2: We look directly at how Alice waking up correlates with Alice arriving to school in general. To understand how Alice waking up affects Alice arriving to school, is it more correct to use the Method 1 than Method 2?",no,"nan
nan
nan
nan
nan
nan
nan",2,backadj,fork,getting_late,easy,[backdoor adjustment set for Y given X]
936,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Tanning salon treatment has a direct effect on skin. Going to the beach has a direct effect on skin. The overall probability of tanning salon treatment is 6%. For people not using tanning salon treatments, the probability of tanned skin is 31%. For people who went to tanning salons, the probability of tanned skin is 85%. Is tanned skin less likely than pale skin overall?",yes,"Let V2 = going to the beach; X = tanning salon treatment; Y = skin.
X->Y,V2->Y
P(Y)
P(Y | X=1)*P(X=1) + P(Y | X=0)*P(X=0)
P(X=1) = 0.06
P(Y=1 | X=0) = 0.31
P(Y=1 | X=1) = 0.85
0.06*0.85 - 0.94*0.31 = 0.34
0.34 > 0",1,marginal,fork,getting_tanned,easy,P(Y)
976,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Tanning salon treatment has a direct effect on skin. Going to the beach has a direct effect on skin. For people not using tanning salon treatments, the probability of tanned skin is 7%. For people who went to tanning salons, the probability of tanned skin is 59%. Will tanning salon treatment decrease the chance of tanned skin?",no,"Let V2 = going to the beach; X = tanning salon treatment; Y = skin.
X->Y,V2->Y
E[Y | do(X = 1)] - E[Y | do(X = 0)]
P(Y|X)
P(Y=1 | X=0) = 0.07
P(Y=1 | X=1) = 0.59
0.59 - 0.07 = 0.52
0.52 > 0",2,ate,fork,getting_tanned,easy,E[Y | do(X = 1)] - E[Y | do(X = 0)]
